,open,high,low,close,volume
2015-06-01,334.87,339.91,332.19,334.62,618810.0
2015-06-02,336.66,337.51,327.73,331.45,754985.0
2015-06-03,333.59,336.23,325.92,330.87,561235.0
2015-06-04,331.2,337.36,322.25,326.31,563155.0
2015-06-05,326.82,330.37,319.65,322.17,583740.0
2015-06-08,325.92,325.92,317.13,317.84,474010.0
2015-06-09,319.47,319.47,311.59,313.04,411595.0
2015-06-10,314.61,321.43,314.1,320.49,608430.0
2015-06-11,323.23,323.23,312.31,314.02,333215.0
2015-06-12,315.18,315.18,309.99,312.43,374925.0
2015-06-15,315.0,318.76,309.19,316.06,209660.0
2015-06-16,316.06,317.66,311.59,313.41,228600.0
2015-06-17,316.97,324.85,313.97,321.21,446680.0
2015-06-18,322.15,326.21,318.04,319.63,337215.0
2015-06-19,320.73,325.71,319.65,321.12,485045.0
2015-06-22,324.31,326.48,313.03,317.21,846495.0
2015-06-23,318.76,320.56,308.42,309.83,749760.0
2015-06-24,313.2,318.58,312.17,313.33,912480.0
2015-06-25,313.38,317.52,302.64,309.33,1554265.0
2015-06-26,311.58,315.87,308.53,311.82,670485.0
2015-06-29,307.98,309.8,303.58,307.23,685445.0
2015-06-30,307.12,323.04,307.12,321.74,842175.0
2015-07-01,324.13,331.47,321.77,326.73,755140.0
2015-07-02,333.53,333.8,326.82,329.14,796275.0
2015-07-03,329.86,331.61,326.46,329.37,468000.0
2015-07-06,323.61,330.93,319.66,327.63,366910.0
2015-07-07,327.72,332.73,327.63,329.67,937740.0
2015-07-08,329.5,340.25,326.8,337.19,763190.0
2015-07-09,339.53,343.65,337.56,340.5,351260.0
2015-07-10,342.04,344.88,338.09,338.94,334730.0
2015-07-13,340.25,347.41,334.89,345.41,298195.0
2015-07-14,347.2,348.22,341.14,342.65,327110.0
2015-07-15,344.04,354.21,343.84,348.73,755825.0
2015-07-16,353.12,361.56,349.56,359.83,642760.0
2015-07-17,360.84,366.17,353.35,355.72,574430.0
2015-07-20,353.5,360.12,353.5,358.27,354940.0
2015-07-21,359.94,359.94,333.98,337.5,463080.0
2015-07-22,337.56,361.38,337.56,355.83,1398785.0
2015-07-23,355.83,358.86,349.2,350.07,354520.0
2015-07-24,353.14,353.14,341.33,343.66,330750.0
2015-07-27,343.83,347.05,332.21,342.84,256215.0
2015-07-28,343.47,347.02,338.46,344.56,917585.0
2015-07-29,347.05,354.03,333.62,336.56,881725.0
2015-07-30,350.36,356.65,345.92,351.79,604700.0
2015-07-31,354.71,354.71,346.1,349.03,849900.0
2015-08-03,349.06,352.35,336.69,342.63,1081550.0
2015-08-04,345.55,350.26,337.59,341.63,982005.0
2015-08-05,345.73,358.65,340.59,355.14,605060.0
2015-08-06,358.31,362.36,351.67,355.21,586110.0
2015-08-07,355.17,361.61,353.7,355.42,422590.0
