,open,high,low,close,volume
2015-05-18,1780.68,1863.01,1772.71,1835.61,1292.0
2015-05-19,1866.66,1866.66,1789.01,1833.08,1309.0
2015-05-20,1799.36,1849.89,1799.36,1832.99,2149.0
2015-05-21,1826.52,1854.53,1788.92,1802.22,2578.0
2015-05-22,1784.33,1845.21,1770.28,1804.47,2776.0
2015-05-25,1789.01,1803.06,1770.28,1797.91,590.0
2015-05-26,1781.57,1830.88,1781.52,1805.64,2105.0
2015-05-27,1738.99,1821.7,1738.99,1803.48,2786.0
2015-05-28,1781.52,1803.06,1763.72,1798.8,1166.0
2015-05-29,1803.01,1855.47,1786.2,1851.02,6454.0
2015-06-01,1863.01,1867.69,1818.33,1853.55,604.0
2015-06-02,1821.79,1857.67,1767.56,1787.56,721.0
2015-06-03,1793.23,1793.69,1704.71,1772.76,926.0
2015-06-04,1823.86,1823.86,1714.08,1755.29,648.0
2015-06-05,1807.74,1807.74,1732.86,1784.7,502.0
2015-06-08,1760.91,1760.91,1671.93,1739.13,1672.0
2015-06-09,1733.8,1759.98,1696.33,1752.81,1287.0
2015-06-10,1770.28,1774.49,1723.82,1763.21,435.0
2015-06-11,1734.03,1779.64,1734.03,1756.98,643.0
2015-06-12,1688.79,1768.41,1688.79,1757.82,381.0
2015-06-15,1770.23,1770.23,1742.18,1758.62,520.0
2015-06-16,1742.65,1760.91,1715.02,1748.5,783.0
2015-06-17,1756.18,1777.07,1737.5,1746.02,3135.0
2015-06-18,1743.12,1755.85,1714.08,1729.25,1147.0
2015-06-19,1728.18,1749.16,1704.71,1735.58,1129.0
2015-06-22,1693.14,1750.94,1693.14,1734.26,731.0
2015-06-23,1733.75,1758.01,1728.36,1741.85,342.0
2015-06-24,1753.42,1768.36,1719.79,1756.04,439.0
2015-06-25,1721.76,1765.6,1721.76,1754.36,972.0
2015-06-26,1779.65,1779.65,1722.51,1733.7,1494.0
2015-06-29,1704.71,1757.35,1685.98,1737.82,1098.0
2015-06-30,1725.23,1750.61,1711.83,1739.6,1132.0
2015-07-01,1744.05,1793.69,1744.05,1773.7,1006.0
2015-07-02,1802.12,1802.12,1751.78,1778.66,1219.0
2015-07-03,1779.64,1804.0,1761.05,1787.84,13797.0
2015-07-06,1718.76,1793.23,1708.46,1785.87,1244.0
2015-07-07,1774.4,1789.01,1738.62,1782.13,1017.0
2015-07-08,1739.37,1798.33,1739.37,1780.49,425.0
2015-07-09,1734.69,1788.07,1734.69,1779.46,550.0
2015-07-10,1770.28,1779.18,1742.18,1772.67,667.0
2015-07-13,1779.64,1779.64,1746.96,1778.57,994.0
2015-07-14,1771.22,1803.06,1761.85,1786.62,2305.0
2015-07-15,1738.1,1792.57,1738.1,1774.87,753.0
2015-07-16,1754.4,1779.65,1754.4,1779.55,344.0
2015-07-17,1776.98,1798.38,1756.84,1778.05,2791.0
2015-07-20,1751.55,1788.96,1747.38,1786.25,756.0
2015-07-21,1786.53,1786.53,1757.12,1774.12,494.0
2015-07-22,1738.67,1779.64,1738.67,1777.07,515.0
2015-07-23,1765.55,1777.26,1732.81,1752.11,1287.0
2015-07-24,1729.21,1746.86,1727.19,1735.11,795.0
2015-07-27,1720.68,1788.07,1720.68,1782.13,1787.0
2015-07-28,1729.07,1792.76,1729.07,1778.94,973.0
2015-07-29,1779.5,1800.25,1757.77,1787.19,3107.0
2015-07-30,1822.82,1853.64,1754.68,1777.68,1600.0
2015-07-31,1781.1,1824.46,1762.83,1791.12,1292.0
2015-08-03,1815.99,1824.6,1779.88,1809.95,927.0
2015-08-04,1854.58,1861.79,1787.19,1843.9,1313.0
2015-08-05,1874.25,2060.64,1874.25,2020.88,4962.0
2015-08-06,2041.91,2085.93,1939.86,1965.38,1895.0
2015-08-07,1966.98,2021.07,1922.25,1970.86,3488.0
2015-08-10,2056.89,2056.89,1967.02,1980.84,586.0
2015-08-11,1980.14,1994.65,1938.88,1956.16,526.0
2015-08-12,1990.39,2112.53,1873.31,1905.91,1981.0
2015-08-13,1914.57,1957.56,1878.09,1940.56,838.0
2015-08-14,1893.21,1990.35,1893.17,1957.89,726.0
2015-08-17,1912.74,1966.04,1892.04,1904.13,2815.0
2015-08-18,1904.22,1948.15,1896.73,1920.56,909.0
2015-08-19,1920.14,1920.61,1901.55,1913.59,1925.0
2015-08-20,1913.59,1916.35,1896.73,1913.21,205.0
2015-08-21,1912.65,1966.04,1896.73,1904.59,235.0
2015-08-24,1832.43,1946.37,1810.55,1858.46,3713.0
2015-08-25,1863.94,1873.31,1803.06,1819.22,938.0
2015-08-26,1779.64,1825.35,1756.32,1807.89,1310.0
2015-08-27,1761.94,1855.47,1742.18,1828.44,522.0
2015-08-28,1812.47,1835.84,1812.43,1822.45,420.0
2015-08-31,1891.11,1891.11,1800.58,1818.42,413.0
2015-09-01,1813.41,1825.49,1806.81,1808.12,662.0
2015-09-02,1815.24,1844.93,1789.01,1826.57,916.0
2015-09-03,1808.77,1835.66,1790.0,1806.29,149.0
2015-09-04,1807.74,1821.79,1704.85,1729.96,796.0
2015-09-07,1751.55,1751.55,1695.35,1711.83,752.0
2015-09-08,1732.81,1732.81,1709.4,1710.71,161.0
2015-09-09,1723.07,1743.07,1715.06,1719.46,155.0
2015-09-10,1714.08,1714.08,1677.55,1713.14,281.0
2015-09-11,1758.01,1758.01,1687.85,1732.81,282.0
2015-09-14,1770.28,1774.91,1714.08,1741.94,209.0
2015-09-15,1724.43,1767.89,1724.38,1732.39,187.0
2015-09-16,1766.06,1766.06,1732.81,1732.81,152.0
2015-09-18,1733.75,1760.91,1733.75,1748.69,212.0
2015-09-21,1778.71,1778.71,1728.13,1737.21,289.0
2015-09-22,1738.95,1759.98,1725.32,1741.62,785.0
2015-09-23,1723.45,1723.45,1704.71,1721.06,272.0
2015-09-24,1728.13,1728.13,1676.28,1694.18,666.0
2015-09-28,1706.26,1763.3,1682.7,1684.25,281.0
2015-09-29,1730.66,1730.66,1687.85,1700.92,56.0
2015-09-30,1700.97,1807.7,1700.08,1754.82,495.0
2015-10-01,1817.02,1817.02,1706.3,1734.83,572.0
2015-10-05,1734.97,1765.17,1714.08,1738.06,174.0
2015-10-06,1810.27,1810.27,1723.45,1746.35,584.0
2015-10-07,1813.36,1813.36,1732.81,1737.12,289.0
2015-10-08,1723.49,1732.81,1723.45,1728.36,159.0
2015-10-09,1728.18,1756.09,1686.26,1729.96,469.0
2015-10-12,1760.86,1760.86,1729.07,1737.54,167.0
2015-10-13,1685.98,1731.88,1685.98,1704.43,341.0
2015-10-14,1729.96,1731.88,1707.52,1716.98,81.0
2015-10-15,1714.08,1770.28,1686.92,1730.33,756.0
2015-10-16,1778.52,1778.57,1715.95,1737.12,578.0
2015-10-19,1742.18,1742.18,1714.08,1719.28,552.0
2015-10-20,1775.48,1775.48,1690.66,1696.56,727.0
2015-10-21,1713.14,1750.61,1700.4,1720.54,647.0
2015-10-23,1714.64,1728.04,1692.77,1724.38,975.0
2015-10-26,1709.58,1718.76,1695.35,1714.78,744.0
2015-10-27,1709.4,1750.61,1695.53,1732.2,3699.0
2015-10-28,1727.1,1728.13,1704.71,1723.45,741.0
2015-10-29,1713.1,1714.03,1685.98,1699.65,782.0
2015-10-30,1700.22,1764.66,1676.61,1725.88,2817.0
2015-11-02,1725.93,1725.93,1691.6,1707.05,911.0
2015-11-03,1706.63,1728.13,1687.85,1700.31,871.0
2015-11-04,1699.56,1723.45,1699.56,1711.74,690.0
2015-11-05,1687.06,1742.23,1644.35,1669.45,8393.0
2015-11-06,1704.71,1713.14,1649.97,1692.49,1370.0
2015-11-09,1662.56,1704.43,1644.25,1699.98,3099.0
2015-11-10,1706.54,1727.19,1662.56,1701.72,1975.0
2015-11-11,1706.54,1727.19,1662.56,1701.72,1975.0
2015-11-13,1692.58,1730.94,1667.25,1722.93,173.0
2015-11-16,1687.95,1751.45,1687.95,1726.58,824.0
2015-11-17,1706.26,1732.81,1706.26,1722.98,360.0
2015-11-18,1716.0,1731.27,1695.35,1700.83,333.0
2015-11-19,1741.9,1741.9,1705.88,1724.94,200.0
2015-11-20,1789.95,1965.99,1789.95,1903.24,8974.0
2015-11-23,1962.29,1963.23,1845.21,1869.75,2159.0
2015-11-24,1869.56,1905.11,1820.86,1852.89,785.0
2015-11-26,1852.75,1868.63,1803.06,1833.27,1201.0
2015-11-27,1887.36,2013.81,1853.64,1979.48,2423.0
2015-11-30,2036.29,2060.64,1957.66,2041.77,2621.0
2015-12-01,2046.59,2060.69,2013.81,2050.01,1255.0
2015-12-02,2041.91,2041.91,1939.81,1971.75,640.0
2015-12-03,1976.34,2003.88,1952.93,1958.17,428.0
2015-12-04,1957.61,1966.93,1892.04,1914.52,833.0
2015-12-07,1966.93,1966.93,1864.88,1888.58,873.0
2015-12-08,1892.04,1938.88,1873.31,1877.38,700.0
2015-12-09,1908.86,1908.86,1807.74,1836.45,573.0
2015-12-10,1800.35,1920.14,1800.35,1847.37,809.0
2015-12-11,1873.31,1906.09,1854.9,1882.3,471.0
2015-12-14,1859.26,1901.36,1859.26,1891.2,148.0
2015-12-15,1874.25,1901.41,1871.86,1874.81,1027.0
2015-12-16,1873.31,1899.16,1873.31,1889.47,556.0
2015-12-17,1898.6,1901.36,1874.72,1891.9,691.0
2015-12-18,1874.34,1920.14,1874.34,1898.23,714.0
2015-12-21,1888.48,1947.03,1888.44,1931.34,192.0
2015-12-22,1912.7,1986.65,1912.65,1932.79,402.0
2015-12-23,1938.92,1962.29,1920.14,1945.43,587.0
2015-12-24,1934.24,1957.33,1914.05,1925.2,238.0
2015-12-28,1924.92,1931.29,1907.87,1912.65,145.0
2015-12-29,1896.91,1929.04,1896.91,1917.57,252.0
2015-12-30,1917.33,1928.48,1907.03,1907.73,183.0
2015-12-31,1927.54,1983.84,1907.5,1961.12,1372.0
2016-01-01,1938.92,1950.02,1922.06,1933.91,393.0
2016-01-04,1935.13,1935.18,1892.04,1912.6,699.0
2016-01-05,1921.08,1924.83,1882.68,1901.41,508.0
2016-01-06,1904.22,1943.56,1887.36,1923.7,633.0
2016-01-07,1910.78,1917.33,1892.04,1898.04,824.0
2016-01-08,1898.04,1940.75,1897.66,1921.78,315.0
2016-01-11,1943.56,1943.56,1875.23,1927.92,246.0
2016-01-12,1897.34,1937.0,1882.82,1908.2,526.0
2016-01-13,1849.89,1933.26,1798.38,1923.14,992.0
2016-01-14,1923.14,1923.14,1845.21,1870.41,485.0
2016-01-15,1896.73,1896.73,1855.98,1871.2,407.0
2016-01-18,1826.57,1864.88,1738.1,1810.51,1266.0
2016-01-19,1790.93,1826.43,1758.24,1816.5,502.0
2016-01-20,1789.01,1867.69,1733.75,1778.01,1059.0
2016-01-21,1777.82,1792.71,1733.75,1751.73,553.0
2016-01-22,1779.64,1836.78,1761.85,1821.98,441.0
2016-01-25,1798.61,1862.96,1798.61,1831.86,82.0
2016-01-27,1810.55,1853.55,1789.57,1817.72,378.0
2016-01-28,1817.11,1871.39,1817.11,1865.91,706.0
2016-01-29,1865.82,2105.6,1826.48,1951.47,740.0
2016-02-01,1951.05,2013.81,1924.12,1956.95,597.0
2016-02-02,1957.61,1965.95,1910.78,1929.04,26277.0
2016-02-03,1871.16,1942.62,1854.58,1921.17,1199.0
2016-02-04,1929.51,1957.61,1882.91,1934.33,648.0
2016-02-05,1934.19,1957.61,1897.01,1938.55,470.0
2016-02-08,1877.99,1955.27,1873.31,1895.13,642.0
2016-02-09,1894.85,1924.31,1874.25,1901.69,428.0
2016-02-10,1853.64,1943.56,1835.84,1910.59,1741.0
2016-02-11,1901.41,1942.62,1800.3,1893.21,1056.0
2016-02-12,1915.46,1929.51,1817.11,1896.12,2502.0
2016-02-15,1931.29,1931.29,1892.04,1907.08,646.0
2016-02-16,1892.83,1892.83,1850.77,1864.77,537.0
2016-02-17,1864.44,1940.15,1802.92,1921.18,2179.0
2016-02-18,1930.64,1935.42,1847.88,1918.86,1761.0
2016-02-19,1883.37,1921.23,1864.44,1881.9,1109.0
2016-02-22,1881.48,1891.41,1779.26,1840.21,1585.0
2016-02-23,1839.83,1845.51,1798.19,1806.14,255.0
2016-02-24,1805.76,1835.67,1788.73,1793.89,98.0
2016-02-25,1821.85,1821.85,1761.47,1789.48,54.0
2016-02-26,1781.16,1819.96,1746.14,1776.94,529.0
2016-02-29,1776.94,1785.41,1703.55,1752.24,574.0
2016-03-01,1723.57,1921.23,1723.57,1875.14,1887.0
2016-03-02,1846.7,1930.45,1845.51,1862.31,842.0
2016-03-03,1909.21,1939.16,1845.51,1880.15,1022.0
2016-03-04,1893.78,1938.17,1859.85,1925.58,472.0
2016-03-08,1916.49,1925.96,1897.61,1917.06,402.0
2016-03-09,1853.08,1928.8,1853.08,1919.05,412.0
2016-03-10,1902.3,1919.33,1878.68,1916.3,535.0
2016-03-11,1891.93,1919.33,1883.75,1911.1,413.0
2016-03-14,1937.31,1940.11,1873.95,1907.74,728.0
2016-03-15,1926.9,1934.48,1889.09,1928.8,167.0
2016-03-16,1895.25,1939.68,1888.1,1925.58,391.0
2016-03-17,1906.18,1940.15,1906.13,1931.78,297.0
2016-03-18,1893.12,1940.15,1893.12,1932.63,339.0
2016-03-21,1888.62,1986.11,1888.62,1978.22,955.0
2016-03-22,1968.9,1997.43,1968.9,1987.4,211.0
2016-03-23,1997.58,1997.58,1952.27,1973.16,166.0
2016-03-28,1912.99,1968.81,1912.99,1931.34,628.0
2016-03-29,1921.11,1986.06,1911.56,1945.53,530.0
2016-03-30,1949.79,1989.07,1926.85,1977.89,658.0
2016-03-31,1987.92,2087.42,1952.8,2052.58,5306.0
2016-04-01,2054.87,2054.87,1988.02,2022.76,348.0
2016-04-04,1974.97,2040.39,1974.92,2022.9,487.0
2016-04-05,1989.16,1992.84,1963.17,1976.88,302.0
2016-04-06,1976.55,2002.31,1950.74,1967.61,242.0
2016-04-07,1989.88,1990.69,1911.56,1940.32,446.0
2016-04-08,1940.23,1954.57,1911.56,1924.41,477.0
2016-04-11,1924.41,1946.68,1898.51,1922.26,730.0
2016-04-12,1931.63,1946.73,1906.78,1928.04,524.0
2016-04-13,1937.36,1937.36,1896.26,1917.05,610.0
2016-04-18,1916.33,1967.75,1902.95,1917.1,757.0
2016-04-20,1903.43,1940.23,1903.43,1924.41,636.0
2016-04-21,1906.92,1939.27,1906.92,1926.27,306.0
2016-04-22,1932.01,1932.01,1874.28,1892.82,659.0
2016-04-25,1892.44,1925.89,1865.68,1911.08,280.0
2016-04-26,1921.11,1921.11,1870.93,1905.72,664.0
2016-04-27,1905.82,1914.42,1892.44,1908.78,153.0
2016-04-28,1887.8,1939.99,1887.8,1916.48,246.0
2016-04-29,1924.94,1978.36,1916.62,1959.87,1563.0
2016-05-02,1977.5,1977.5,1914.42,1944.48,268.0
2016-05-03,1921.11,1981.09,1912.94,1924.08,298.0
2016-05-04,1899.23,1912.51,1866.63,1880.25,639.0
2016-05-05,1882.88,1891.39,1800.78,1867.4,826.0
2016-05-06,1866.63,1885.27,1816.26,1884.22,200.0
2016-05-09,1926.85,1930.67,1884.22,1905.72,389.0
2016-05-10,1905.73,1978.27,1874.61,1947.54,1215.0
2016-05-11,1958.15,2007.13,1902.0,1931.15,586.0
2016-05-12,1930.67,2023.38,1910.6,1960.68,12985.0
2016-05-13,2007.13,2045.36,1921.11,1949.55,2644.0
2016-05-16,2003.31,2003.31,1925.89,1935.88,500.0
2016-05-17,1935.5,1949.79,1912.03,1936.5,743.0
2016-05-18,1936.41,1936.41,1866.06,1902.71,1639.0
2016-05-19,1902.95,1919.82,1883.03,1903.0,411.0
2016-05-20,1903.91,1920.16,1874.33,1900.8,682.0
2016-05-23,1900.09,1922.55,1883.84,1896.6,214.0
2016-05-24,1896.26,1906.78,1878.1,1905.39,288.0
2016-05-25,1904.86,1911.51,1884.94,1903.72,399.0
2016-05-26,1903.91,1943.19,1887.66,1898.75,1161.0
2016-05-27,1919.11,1919.11,1872.51,1885.61,727.0
2016-05-30,1892.44,1919.2,1882.88,1898.17,26563.0
2016-05-31,1907.73,1959.34,1866.63,1912.61,1383.0
2016-06-01,1948.64,1948.64,1897.22,1922.98,956.0
2016-06-02,1883.93,1929.67,1883.93,1913.37,536.0
2016-06-03,1934.49,1935.45,1912.89,1930.62,473.0
2016-06-06,1929.71,1947.49,1899.7,1931.58,202.0
2016-06-07,1930.67,2033.32,1898.51,1983.29,2100.0
2016-06-08,1973.68,1973.68,1902.28,1943.43,1295.0
2016-06-09,2025.29,2025.29,1925.08,1958.1,454.0
2016-06-10,1957.24,2006.18,1935.74,1972.96,468.0
2016-06-13,1972.72,2023.38,1939.27,1977.79,357.0
2016-06-14,1977.79,1992.61,1951.75,1984.34,457.0
2016-06-15,1941.33,2003.31,1938.13,1977.36,820.0
2016-06-16,1976.55,1976.55,1932.77,1948.97,572.0
2016-06-17,1959.34,1982.28,1936.07,1963.69,557.0
2016-06-20,2002.35,2002.35,1921.73,1960.78,682.0
2016-06-21,1960.78,1960.78,1926.51,1955.38,895.0
2016-06-22,1954.57,1959.01,1911.46,1921.35,743.0
2016-06-23,1922.07,1986.11,1889.33,1944.63,1223.0
2016-06-24,1887.66,1911.56,1864.91,1908.59,827.0
2016-06-27,1907.73,1958.34,1897.22,1945.96,405.0
2016-06-28,1945.96,1987.54,1929.91,1977.17,534.0
2016-06-29,1926.23,2002.35,1926.08,1990.17,883.0
2016-06-30,1990.17,2031.03,1943.48,2024.29,1243.0
2016-07-01,1997.58,2074.04,1969.38,2026.44,1454.0
2016-07-04,2026.25,2054.92,2009.52,2048.61,434.0
2016-07-05,2050.14,2067.35,2022.09,2054.2,462.0
2016-07-07,2028.26,2053.01,2009.62,2046.85,1282.0
2016-07-08,2021.47,2038.67,2008.95,2035.04,376.0
2016-07-11,2034.85,2074.04,2011.0,2054.49,804.0
2016-07-12,2013.11,2078.82,2013.11,2041.97,1771.0
2016-07-13,2041.54,2052.01,1981.37,2043.83,587.0
2016-07-14,2043.45,2050.14,2011.0,2036.48,452.0
2016-07-15,2035.81,2063.52,2026.25,2056.79,121938.0
2016-07-18,2056.79,2056.79,2035.81,2045.03,650.0
2016-07-19,2044.41,2054.92,2014.78,2050.29,545.0
2016-07-20,2007.13,2064.48,2007.13,2056.07,1501.0
2016-07-21,2078.63,2078.63,2022.81,2054.59,1747.0
2016-07-22,2020.32,2060.94,2020.32,2053.63,323.0
2016-07-25,2021.47,2102.71,2021.47,2055.54,1864.0
2016-07-26,2054.92,2083.6,2026.49,2046.03,1219.0
2016-07-27,2063.52,2096.98,2027.54,2064.91,907.0
2016-07-28,2062.57,2168.09,2045.36,2123.21,1584.0
2016-07-29,2123.21,2197.28,2113.65,2187.3,1611.0
2016-08-01,2169.61,2354.46,2169.61,2271.88,2146.0
2016-08-02,2289.09,2340.7,2271.88,2278.38,987.0
2016-08-03,2277.62,2288.04,2231.98,2264.62,379.0
2016-08-04,2265.19,2377.97,2264.24,2323.5,936.0
2016-08-05,2341.65,2480.1,2327.32,2432.12,4756.0
2016-08-08,2365.55,2437.23,2297.21,2351.07,2878.0
2016-08-09,2350.26,2379.41,2304.38,2338.84,100856.0
2016-08-10,2374.96,2374.96,2246.08,2285.03,1017.0
2016-08-11,2284.31,2322.49,2236.52,2280.1,644.0
2016-08-12,2293.87,2351.21,2293.87,2343.9,618.0
2016-08-16,2343.57,2374.49,2277.71,2311.4,758.0
2016-08-17,2340.7,2340.7,2255.92,2323.59,620.0
2016-08-18,2323.5,2327.32,2261.85,2316.33,1016.0
2016-08-19,2340.7,2340.7,2289.04,2302.18,484.0
2016-08-22,2339.12,2339.12,2275.71,2294.73,483.0
2016-08-23,2293.87,2326.31,2268.06,2282.06,282.0
2016-08-24,2293.82,2336.78,2257.55,2299.36,866.0
2016-08-25,2335.92,2335.92,2285.36,2297.21,428.0
2016-08-26,2328.61,2341.66,2279.63,2333.82,946.0
2016-08-29,2333.05,2341.65,2289.37,2295.59,224.0
2016-08-30,2340.36,2379.89,2299.74,2340.17,1236.0
2016-08-31,2293.87,2379.36,2293.87,2345.86,587.0
2016-09-01,2322.54,2365.55,2322.54,2356.09,231.0
2016-09-02,2355.99,2437.23,2293.87,2352.03,949.0
2016-09-06,2654.19,2654.19,2388.49,2419.12,2396.0
2016-09-07,2454.39,2454.39,2371.43,2435.8,548.0
2016-09-08,2389.64,2469.73,2348.11,2439.29,551.0
2016-09-09,2474.32,2474.32,2370.33,2387.96,539.0
2016-09-12,2424.62,2424.62,2346.43,2368.46,534.0
2016-09-14,2389.44,2389.44,2351.55,2384.47,412.0
2016-09-15,2388.15,2480.24,2369.37,2397.33,1771.0
2016-09-16,2444.31,2470.68,2400.05,2448.37,1721.0
2016-09-19,2442.2,2461.13,2394.84,2435.27,1017.0
2016-09-20,2369.42,2461.08,2369.42,2413.0,359.0
2016-09-21,2421.18,2473.55,2414.29,2452.57,991.0
2016-09-22,2485.02,2532.81,2456.35,2497.92,4331.0
2016-09-23,2549.54,2550.49,2491.33,2528.7,752.0
2016-09-26,2504.14,2559.48,2504.14,2524.02,600.0
2016-09-27,2569.89,2569.89,2475.46,2496.2,503.0
2016-09-28,2516.56,2516.61,2485.02,2499.12,722.0
2016-09-29,2498.59,2498.59,2347.49,2423.18,639.0
2016-09-30,2422.9,2494.58,2422.9,2464.28,415.0
2016-10-03,2506.14,2552.79,2494.58,2503.95,490.0
2016-10-04,2531.81,2531.85,2475.7,2507.91,592.0
2016-10-05,2515.18,2551.93,2475.46,2518.95,2481.0
2016-10-06,2516.56,2550.3,2500.51,2511.78,244.0
2016-10-07,2500.51,2503.09,2475.46,2483.92,560.0
2016-10-10,2527.98,2571.04,2485.02,2535.44,1415.0
2016-10-13,2497.97,2783.94,2497.97,2637.42,4817.0
2016-10-14,2681.0,2762.2,2618.97,2671.59,1428.0
2016-10-17,2676.18,2848.22,2601.63,2648.32,1047.0
2016-10-18,2743.08,2861.6,2653.29,2837.8,53145.0
2016-10-19,2790.87,2915.12,2790.87,2908.19,1599.0
2016-10-20,2955.74,3133.99,2955.74,3099.92,2267.0
2016-10-21,3148.71,3267.23,3148.71,3198.65,1792.0
2016-10-24,3316.55,3316.55,3204.24,3230.91,1021.0
2016-10-25,3297.43,3297.43,3230.53,3241.62,714.0
2016-10-26,3249.64,3296.09,3142.6,3186.32,664.0
2016-10-27,3155.31,3220.83,3155.02,3172.23,218.0
2016-10-28,3070.24,3369.12,3070.24,3297.53,1250.0
2016-11-01,3315.59,3315.59,3230.53,3235.78,920.0
2016-11-02,3206.68,3281.52,3188.95,3214.52,657.0
2016-11-03,3268.66,3273.54,2915.12,2931.47,9667.0
2016-11-04,2962.91,2962.91,2701.03,2734.81,2695.0
2016-11-07,2841.53,2841.53,2723.97,2792.93,1208.0
2016-11-08,2913.21,2913.21,2799.47,2815.39,934.0
2016-11-09,2701.03,2761.58,2499.88,2758.09,1092.0
2016-11-10,2743.1,2910.13,2743.1,2846.72,501.0
2016-11-11,2786.29,2834.28,2691.12,2782.01,790.0
2016-11-15,2834.28,2834.28,2606.0,2667.2,2607.0
2016-11-16,2721.39,2745.89,2636.02,2645.1,1376.0
2016-11-17,2656.53,2738.1,2594.18,2712.83,1137.0
2016-11-18,2672.87,2697.85,2659.75,2672.77,302.0
2016-11-21,2626.32,2707.55,2575.06,2595.91,889.0
2016-11-22,2622.91,2677.67,2574.87,2675.99,524.0
2016-11-23,2675.99,2704.04,2642.12,2661.0,206.0
2016-11-24,2627.76,2690.16,2604.75,2679.11,388.0
2016-11-25,2692.08,2880.39,2518.57,2692.32,2356.0
2016-11-28,2705.63,2786.24,2705.63,2747.86,157.0
2016-11-29,2720.04,2780.47,2718.98,2736.61,296.0
2016-11-30,2773.36,2784.94,2690.16,2714.18,753.0
2016-12-01,2714.13,2759.34,2671.91,2692.42,187.0
2016-12-02,2710.19,2732.43,2673.25,2707.84,177.0
2016-12-05,2602.73,2760.3,2602.73,2732.43,208.0
2016-12-06,2732.48,2745.89,2670.95,2689.1,1178.0
2016-12-07,2690.35,2737.24,2623.96,2673.68,695.0
2016-12-08,2726.67,2726.67,2670.95,2703.47,341.0
2016-12-09,2685.16,2728.54,2656.53,2700.01,713.0
2016-12-12,2690.16,2732.43,2685.31,2714.52,213.0
2016-12-13,2655.57,2757.41,2655.57,2737.29,161.0
2016-12-14,2747.81,2833.27,2652.69,2745.5,324.0
2016-12-15,2672.05,2762.22,2672.05,2729.22,516.0
2016-12-16,2696.17,2746.85,2696.17,2740.94,335.0
2016-12-19,2740.99,2741.03,2705.53,2733.78,309.0
2016-12-20,2680.55,2718.98,2656.49,2692.08,1236.0
2016-12-21,2733.16,2733.16,2680.55,2700.54,493.0
2016-12-22,2738.1,2738.1,2639.53,2659.13,521.0
2016-12-23,2686.89,2686.89,2643.08,2657.83,1188.0
2016-12-26,2714.13,2714.13,2595.04,2662.25,355.0
2016-12-27,2609.46,2738.2,2609.46,2713.22,393.0
2016-12-28,2752.61,2753.96,2667.15,2735.03,314.0
2016-12-29,2666.24,2834.28,2666.24,2782.15,466.0
2016-12-30,2786.24,2920.75,2772.36,2876.41,1169.0
2017-01-02,2818.9,2876.93,2818.9,2875.49,472.0
2017-01-03,2878.47,2878.47,2847.63,2877.37,169.0
2017-01-04,2878.47,2878.47,2847.1,2868.82,78298.0
2017-01-05,2872.71,2882.03,2851.67,2872.95,202.0
2017-01-06,2911.09,2911.09,2853.83,2876.98,203.0
2017-01-09,2929.2,2929.2,2834.28,2860.22,222.0
2017-01-10,2858.3,2881.35,2817.56,2868.24,552.0
2017-01-11,2882.32,2914.98,2848.93,2889.95,608.0
2017-01-12,2929.2,2939.96,2864.06,2906.05,1500.0
2017-01-13,2906.05,2930.26,2883.32,2912.34,873.0
2017-01-16,2882.32,2939.96,2781.43,2906.24,808.0
2017-01-17,2920.7,2968.64,2889.09,2920.17,649.0
2017-01-18,2958.17,2959.08,2888.08,2926.08,750.0
2017-01-19,2906.38,2959.18,2882.32,2927.9,722.0
2017-01-20,2930.26,2930.35,2883.28,2904.03,912.0
2017-01-23,2906.29,2953.36,2891.92,2935.3,213.0
2017-01-24,2948.61,3165.74,2901.53,3010.48,1743.0
2017-01-25,3025.47,3088.83,2998.76,3075.09,656.0
2017-01-27,3103.2,3103.2,3021.77,3067.5,880.0
2017-01-30,3014.95,3079.27,3014.95,3060.87,887.0
2017-01-31,3093.69,3093.69,3040.84,3059.82,347.0
2017-02-01,3074.47,3122.51,3026.43,3079.75,971.0
2017-02-02,3065.92,3079.27,3038.92,3073.99,450.0
2017-02-03,3069.67,3116.65,3037.58,3092.29,656.0
2017-02-06,3060.11,3117.7,3055.25,3104.16,722.0
2017-02-07,3112.95,3457.82,2998.57,3304.09,8731.0
2017-02-08,3409.78,3493.37,3331.33,3387.97,3571.0
2017-02-09,3334.84,3442.45,3298.38,3349.15,684.0
2017-02-10,3438.6,3438.6,3343.49,3383.07,1082.0
2017-02-13,3381.87,3442.45,3335.8,3369.09,595.0
2017-02-14,3391.52,3391.52,3326.48,3357.71,487.0
2017-02-15,3362.7,3394.41,3271.48,3290.88,824.0
2017-02-16,3290.59,3295.45,3194.57,3285.84,1706.0
2017-02-17,3313.7,3313.7,3237.8,3246.83,1909.0
2017-02-20,3232.04,3295.35,3189.76,3197.45,1587.0
2017-02-21,3175.45,3194.57,3141.72,3177.8,3018.0
2017-02-22,3236.84,3255.05,3146.62,3216.28,764.0
2017-02-23,3170.55,3264.7,3170.55,3242.7,700.0
2017-02-27,3239.43,3266.24,3218.59,3261.92,1326.0
2017-02-28,3261.82,3261.82,3217.62,3245.44,575.0
2017-03-01,3266.62,3266.62,3197.5,3228.19,1380.0
2017-03-02,3208.93,3247.36,3186.4,3210.32,1866.0
2017-03-03,3171.6,3232.52,3171.6,3192.36,912.0
